config_id,size,seed,total_distance,vehicle_count,feasible,convergence_iter,wall_time_sec
C1,25,0,229.16697122606112,3,True,34,0.309935542056337
C1,25,1,230.8183302148227,3,True,53,0.3056560419499874
C1,25,2,240.42751903580682,3,True,13,0.3080975000048056
C1,25,3,233.44758803982364,3,True,2,0.30794295796658844
C1,25,4,229.97580799403661,3,True,5,0.3273981250822544
C1,25,5,230.82117275615244,3,True,45,0.30862379202153534
C1,25,6,234.0761038564849,3,True,22,0.30871141608804464
C1,25,7,233.69238264557927,3,True,28,0.30613291705958545
C1,25,8,242.70794468447622,3,True,2,0.35438470891676843
C1,25,9,233.47671304242218,3,True,2,0.3073290000902489
C1,25,10,234.926917835742,3,True,0,0.3241072919918224
C1,25,11,238.47592320009534,3,True,1,0.3087244170019403
C1,25,12,230.70382059170768,3,True,64,0.306819541961886
C1,25,13,227.91820355231687,3,True,82,0.3098735000239685
C1,25,14,230.28558295179874,3,True,6,0.3157445410033688
C1,25,15,228.85046502702784,3,True,23,0.30769279098603874
C1,25,16,233.21765205457177,3,True,5,0.3076389579800889
C1,25,17,236.72221670902184,3,True,19,0.3076401249272749
C1,25,18,231.3288367013422,3,True,24,0.30843316600658
C1,25,19,231.46795796008357,3,True,41,0.3065807910170406
C1,25,20,234.31844258647646,3,True,28,0.31871174997650087
C1,25,21,231.94483725897584,3,True,0,0.3406415421050042
C1,25,22,229.44592014230423,3,True,49,0.31606899993494153
C1,25,23,229.02240815304302,3,True,25,0.3637648329604417
C1,25,24,232.7071715915534,3,True,63,0.3050581249408424
C1,25,25,236.82295316800355,3,True,44,0.3062233329983428
C1,25,26,230.33650514831206,3,True,1,0.3062865419778973
C1,25,27,229.38972359643867,3,True,30,0.30507750005926937
C1,25,28,232.093688712201,3,True,36,0.3174057910218835
C1,25,29,231.6968811550069,3,True,21,0.30844129202887416
C1,50,0,410.04940941792495,5,True,72,0.9013835840160027
C1,50,1,403.93954320265095,5,True,21,0.9114789169980213
C1,50,2,397.94851658486255,5,True,29,0.8974380840081722
C1,50,3,415.50079582552814,5,True,44,0.975623165955767
C1,50,4,388.8194082453226,5,True,96,0.9109800829319283
C1,50,5,391.4059946581744,5,True,84,0.9041398749686778
C1,50,6,393.96895202276596,5,True,82,0.9023397919954732
C1,50,7,406.9984754947012,5,True,55,0.8973585419589654
C1,50,8,388.30585938290557,5,True,91,0.9479985409416258
C1,50,9,405.79218002479615,5,True,71,0.9463825420243666
C1,50,10,389.943915406268,5,True,78,0.8972604579757899
C1,50,11,404.01118139521316,5,True,75,0.9007535829441622
C1,50,12,396.88879090162766,5,True,59,0.8991925830487162
C1,50,13,402.6975523227251,5,True,75,0.9010674159508198
C1,50,14,401.03800669950994,5,True,59,0.9119748340453953
C1,50,15,364.6493734465425,5,True,99,0.9814924160018563
C1,50,16,410.08666382206775,5,True,70,0.914918459020555
C1,50,17,416.4097801931106,5,True,17,0.8954139170236886
C1,50,18,414.84993452835306,5,True,3,0.8989361251005903
C1,50,19,416.59469236526,5,True,57,0.898587999981828
C1,50,20,377.9811706780714,5,True,86,0.8959353750105947
C1,50,21,380.8282830524472,5,True,71,0.898505000048317
C1,50,22,410.9996523311545,5,True,36,0.9401593750808388
C1,50,23,385.8861180434727,5,True,65,0.895918459049426
C1,50,24,388.6009999725466,5,True,86,0.8945189160294831
