heuristic,size,total_distance,vehicle_count
NN,25,312.84539557979815,3
CWS,25,231.07071652209916,3
NN,50,514.9457421310476,5
CWS,50,373.0248209931034,5
NN,100,684.6664498266953,8
CWS,100,562.1056974704502,8
